"Time","instance","Value #sql count","Value #qps","Value #iops in progress","Value #cpu","Value #disk write bytes","Value #read batch latency p99","Value #exec latency p99","Value #admission wait queue length","Value #admission wait rate","Value #goroutines per cpu","Value #l0 sublevels","Value #l0 files","Value #quota used","Value #disk read bytes","Value #replica read bytes","Value #replica write bytes","Value #read keys","Value #write keys","Value #io tokens exhausted","Value #heartbeat latency p99","Value #kv used slots / total","Value #command latency p99","Value #compaction write bytes","Value #compaction read bytes","Value #write stall duratiion","Value #leaseholders","Value #memory"
2022-09-05 15:20:30,34.148.111.75:26258,857,726,0.667,0.478,187460092,7444522,7321877,0,0,0.126,1,17,0,0,14296804,2034901,2655,1114,0,14601420,0,103803,152157183,157729047,0,421,4206276608
2022-09-05 15:20:45,34.148.111.75:26258,857,731,0.833,0.336,188793962,7509517,7602709,0,0,0.117,0,0,0,0,17129133,2046645,3105,1117,0,14538505,0.0909,105627,163535170,169490932,0,421,6034743296
2022-09-05 15:21:00,34.148.111.75:26258,857,732,0.833,0.347,189590224,7504526,7640931,0,0,0.111,0,0,0,0,16959056,2052921,3074,1119,0,14507048,0,104927,160604843,167263012,0,421,5464178688
2022-09-05 15:21:15,34.148.111.75:26258,857,736,0.667,0.345,190679096,1102151,5869210,0,0,0.0737,1,6,0,0,16652687,2064362,3017,1122,0,14428405,0.0455,100156,151246067,157796958,0,421,4768186368
2022-09-05 15:21:30,34.148.111.75:26258,857,737,0.667,0.330,191392959,341902,5614424,0,0,0.0662,0,0,0,0,16515473,2070076,2997,1123,0,14396947,0,97267,164231470,171021639,0,421,4466511872
2022-09-05 15:21:45,34.148.111.75:26258,857,740,1,0.336,192996331,334020,5632657,0,0,0.0681,0,0,0,0,16205573,2080029,2940,1126,0,14334033,0.0455,98176,170299349,176796888,0,421,3789873152
2022-09-05 15:22:00,34.148.111.75:26258,857,741,1,0.334,193384363,340225,5587280,0,0,0.0481,1,16,0,0,16054429,2085205,2913,1128,0,14286847,0,98215,157522374,163381822,0,421,3573059584
2022-09-05 15:22:15,34.148.111.75:26258,857,744,1.17,0.326,194798670,318397,5528457,0,0,0.0800,0,0,0,0,15763929,2094428,2859,1130,0,14223932,0.136,98059,162296759,168543266,0,421,3112411136
2022-09-05 15:22:30,34.148.111.75:26258,857,745,1.33,0.351,195287464,320522,5484116,0,0,0.109,1,2,0,0,15623176,2098713,2836,1131,0,14192475,0,97105,160085263,166622775,0,422,2815119360
2022-09-05 15:22:45,34.148.111.75:26258,857,748,1.17,0.351,196736544,313007,5565409,0,0,0.0919,1,6,0,0,15350496,2108390,2786,1134,0,14113832,0,96162,164734238,171192741,0,421,2593988608
2022-09-05 15:23:00,34.148.111.75:26258,857,749,1.17,0.333,197540687,299463,5552826,0,0,0.110,0,0,0,0,15217632,2112067,2762,1136,0,14082375,0.0455,95754,170482725,176728868,0,421,2628796416
2022-09-05 15:23:15,34.148.111.75:26258,857,751,0.667,0.336,198821704,288491,5517658,0,0,0.0706,0,0,0,0,14961159,2120537,2714,1138,0,14019460,0,96926,168925147,175668084,0,421,2505314304
2022-09-05 15:23:30,34.148.111.75:26258,857,752,0.833,0.336,199101504,283120,5623389,0,0,0.0613,1,14,0,0,14836985,2124513,2694,1139,0,13972274,0,97295,165959545,171977392,0,421,2455769088
2022-09-05 15:23:45,34.148.111.75:26258,857,754,0.833,0.328,200148371,279490,5681921,0,0,0.0944,1,15,0,0,14595191,2132217,2650,1142,0,13909360,0.136,95121,168678310,174836388,0,421,2394439680
2022-09-05 15:24:00,34.148.111.75:26258,857,756,0.833,0.346,200413057,276239,5731720,0,0,0.0906,0,0,0,0,14478255,2136194,2628,1143,0,13877902,0.0455,95963,165826726,172649353,0,421,2394583040
2022-09-05 15:24:15,34.148.111.75:26258,857,758,1,0.351,201263443,276651,5805453,0,0,0.0757,1,6,0,0,14250612,2143564,2586,1145,0,13799259,0.0455,95590,168972732,175437679,0,421,2455674880
2022-09-05 15:24:30,34.148.111.75:26258,857,758,0.833,0.333,201995257,444224,6206433,0,0,0.0806,0,0,0,0,14139874,2146178,2569,1146,0,13767802,0.0455,96641,175175667,182012654,0,421,2510934016
2022-09-05 15:24:45,34.148.111.75:26258,793,760,1,0.333,203199085,483360,6554195,0,0,0.0656,0,0,0,0,14404835,2152611,2607,1148,0,13704887,0.0909,96910,178448408,184981181,0,422,2893373440
2022-09-05 15:25:00,34.148.111.75:26258,836,759,1.17,0.226,200714579,530045,6947371,0,0,0.0387,1,12,0,0,14289195,2148310,2585,1145,0,13657701,0.136,103356,137107586,142365944,0,422,2830376960
2022-09-05 15:25:15,34.148.111.75:26258,922,765,1.33,0.417,206108997,346979,7212786,0,0,0.104,1,3,0,205,14088345,2167259,2548,1153,0,13594787,0.0455,116113,221818375,229711990,0,422,2659229696
2022-09-05 15:25:30,34.148.111.75:26258,964,768,1.33,0.417,207231823,370504,7253026,0,0,0.0987,1,7,0,410,13991793,2177120,2533,1157,0,13563330,0.0455,118737,208649325,216606796,0,422,2612789248
2022-09-05 15:25:45,34.148.111.75:26258,1072,774,1.33,0.548,209992542,9353559,10004901,0,0,0.111,0,0,0,614,15919940,2195469,2840,1164,0,13484686,0.0909,126655,194967975,201878211,0,422,4697120768
2022-09-05 15:26:00,34.148.111.75:26258,1072,777,1.33,0.464,208298676,10836942,10874139,0,0,0.138,0,0,0,410,17257114,2204485,3054,1167,0,13453229,0.136,124306,120090667,125647380,0,422,6531891200
